mapName,scenFile,agentNum,seed,shieldType,success,total_cost_true,total_cost_not_resting_at_goal,num_agents_at_goal,runtime
empty-32-32,data/scen-random/empty-32-32-random-6.scen,300,0,CS-PIBT,True,10665,9028,300,0.222
Berlin_1_256,data/scen-random/Berlin_1_256-random-6.scen,600,0,CS-PIBT,True,124689,111035,600,3.519
empty-32-32,data/scen-random/empty-32-32-random-7.scen,300,0,CS-PIBT,True,10464,9048,300,0.207
empty-32-32,data/scen-random/empty-32-32-random-24.scen,500,0,CS-PIBT,True,23506,19490,500,0.474
empty-32-32,data/scen-random/empty-32-32-random-9.scen,200,0,CS-PIBT,True,6231,5378,200,0.144
empty-32-32,data/scen-random/empty-32-32-random-8.scen,200,0,CS-PIBT,True,6463,5527,200,0.165
empty-32-32,data/scen-random/empty-32-32-random-25.scen,500,0,CS-PIBT,True,22109,19209,500,0.453
empty-32-32,data/scen-random/empty-32-32-random-4.scen,400,0,CS-PIBT,True,15550,13500,400,0.369
empty-32-32,data/scen-random/empty-32-32-random-5.scen,400,0,CS-PIBT,True,16347,14081,400,0.328
empty-32-32,data/scen-random/empty-32-32-random-3.scen,500,0,CS-PIBT,True,23682,19921,500,0.443
empty-32-32,data/scen-random/empty-32-32-random-4.scen,500,0,CS-PIBT,True,23035,19759,500,0.420
empty-32-32,data/scen-random/empty-32-32-random-8.scen,300,0,CS-PIBT,True,10823,9162,300,0.252
maze-32-32-4,data/scen-random/maze-32-32-4-random-10.scen,100,0,CS-PIBT,True,6315,5493,100,0.152
empty-32-32,data/scen-random/empty-32-32-random-7.scen,400,0,CS-PIBT,True,16108,13814,400,0.305
empty-32-32,data/scen-random/empty-32-32-random-6.scen,400,0,CS-PIBT,True,16441,13928,400,0.363
empty-32-32,data/scen-random/empty-32-32-random-9.scen,300,0,CS-PIBT,True,10871,9218,300,0.232
Berlin_1_256,data/scen-random/Berlin_1_256-random-3.scen,900,0,CS-PIBT,True,199542,170217,900,5.367
maze-32-32-4,data/scen-random/maze-32-32-4-random-12.scen,100,0,CS-PIBT,True,6648,5772,100,0.160
maze-32-32-4,data/scen-random/maze-32-32-4-random-11.scen,100,0,CS-PIBT,True,8161,6704,100,0.231
maze-32-32-4,data/scen-random/maze-32-32-4-random-13.scen,100,0,CS-PIBT,True,6485,5799,100,0.153
empty-32-32,data/scen-random/empty-32-32-random-5.scen,500,0,CS-PIBT,True,23910,20197,500,0.465
empty-32-32,data/scen-random/empty-32-32-random-8.scen,400,0,CS-PIBT,True,16409,13669,400,0.339
empty-32-32,data/scen-random/empty-32-32-random-9.scen,400,0,CS-PIBT,True,15913,13798,400,0.319
Berlin_1_256,data/scen-random/Berlin_1_256-random-9.scen,400,0,CS-PIBT,True,80469,73440,400,2.194
empty-32-32,data/scen-random/empty-32-32-random-6.scen,500,0,CS-PIBT,True,23026,19694,500,0.464
empty-32-32,data/scen-random/empty-32-32-random-7.scen,500,0,CS-PIBT,True,23124,19943,500,0.450
empty-32-32,data/scen-random/empty-32-32-random-8.scen,500,0,CS-PIBT,True,23505,19658,500,0.441
maze-32-32-4,data/scen-random/maze-32-32-4-random-18.scen,100,0,CS-PIBT,True,6196,5133,100,0.147
empty-32-32,data/scen-random/empty-32-32-random-9.scen,500,0,CS-PIBT,True,23149,20178,500,0.458
Berlin_1_256,data/scen-random/Berlin_1_256-random-4.scen,900,0,CS-PIBT,True,199404,169980,900,5.056
maze-32-32-4,data/scen-random/maze-32-32-4-random-19.scen,100,0,CS-PIBT,True,7703,6484,100,0.194
Berlin_1_256,data/scen-random/Berlin_1_256-random-3.scen,1000,0,CS-PIBT,True,223494,190310,1000,5.622
Berlin_1_256,data/scen-random/Berlin_1_256-random-8.scen,500,0,CS-PIBT,True,104567,94993,500,2.876
maze-32-32-4,data/scen-random/maze-32-32-4-random-1.scen,100,0,CS-PIBT,False,7629,6740,98,0.582
Berlin_1_256,data/scen-random/Berlin_1_256-random-7.scen,600,0,CS-PIBT,True,125324,107137,600,3.573
maze-32-32-4,data/scen-random/maze-32-32-4-random-14.scen,100,0,CS-PIBT,False,7001,6031,99,0.583
Berlin_1_256,data/scen-random/Berlin_1_256-random-6.scen,700,0,CS-PIBT,True,150554,131700,700,4.126
maze-32-32-4,data/scen-random/maze-32-32-4-random-15.scen,100,0,CS-PIBT,False,7766,6178,98,0.551
maze-32-32-4,data/scen-random/maze-32-32-4-random-16.scen,100,0,CS-PIBT,False,9440,7909,96,0.593
maze-32-32-4,data/scen-random/maze-32-32-4-random-17.scen,100,0,CS-PIBT,False,7097,6098,98,0.577
Berlin_1_256,data/scen-random/Berlin_1_256-random-5.scen,800,0,CS-PIBT,True,176443,152619,800,4.807
maze-32-32-4,data/scen-random/maze-32-32-4-random-2.scen,100,0,CS-PIBT,False,8957,6999,98,0.586
maze-32-32-4,data/scen-random/maze-32-32-4-random-20.scen,100,0,CS-PIBT,False,8209,6829,98,0.579
maze-32-32-4,data/scen-random/maze-32-32-4-random-10.scen,200,0,CS-PIBT,False,19905,15707,198,1.058
maze-32-32-4,data/scen-random/maze-32-32-4-random-21.scen,100,0,CS-PIBT,False,8440,6869,97,0.554
Berlin_1_256,data/scen-random/Berlin_1_256-random-4.scen,1000,0,CS-PIBT,True,222049,189742,1000,5.604
maze-32-32-4,data/scen-random/maze-32-32-4-random-1.scen,200,0,CS-PIBT,False,29215,22075,188,1.135
Berlin_1_256,data/scen-random/Berlin_1_256-random-8.scen,600,0,CS-PIBT,True,126653,113219,600,3.424
maze-32-32-4,data/scen-random/maze-32-32-4-random-11.scen,200,0,CS-PIBT,False,28096,20138,198,1.124
Berlin_1_256,data/scen-random/Berlin_1_256-random-9.scen,500,0,CS-PIBT,True,101934,90949,500,2.868
maze-32-32-4,data/scen-random/maze-32-32-4-random-19.scen,200,0,CS-PIBT,True,29788,21367,200,0.853
maze-32-32-4,data/scen-random/maze-32-32-4-random-12.scen,200,0,CS-PIBT,False,25515,19859,193,1.078
maze-32-32-4,data/scen-random/maze-32-32-4-random-13.scen,200,0,CS-PIBT,False,25960,19644,197,1.123
Berlin_1_256,data/scen-random/Berlin_1_256-random-7.scen,700,0,CS-PIBT,True,148139,125036,700,4.148
maze-32-32-4,data/scen-random/maze-32-32-4-random-22.scen,100,0,CS-PIBT,False,7602,6747,98,0.579
maze-32-32-4,data/scen-random/maze-32-32-4-random-14.scen,200,0,CS-PIBT,False,22243,16814,196,1.114
maze-32-32-4,data/scen-random/maze-32-32-4-random-3.scen,100,0,CS-PIBT,True,6261,5626,100,0.153
maze-32-32-4,data/scen-random/maze-32-32-4-random-23.scen,100,0,CS-PIBT,False,6726,5810,99,0.550
maze-32-32-4,data/scen-random/maze-32-32-4-random-15.scen,200,0,CS-PIBT,False,22904,18172,196,1.120
maze-32-32-4,data/scen-random/maze-32-32-4-random-4.scen,100,0,CS-PIBT,True,6136,5073,100,0.141
maze-32-32-4,data/scen-random/maze-32-32-4-random-16.scen,200,0,CS-PIBT,False,29762,21702,194,1.134
maze-32-32-4,data/scen-random/maze-32-32-4-random-5.scen,100,0,CS-PIBT,True,6726,5984,100,0.147
maze-32-32-4,data/scen-random/maze-32-32-4-random-18.scen,200,0,CS-PIBT,False,25387,19502,198,1.120
maze-32-32-4,data/scen-random/maze-32-32-4-random-17.scen,200,0,CS-PIBT,False,23115,17642,198,1.116
Berlin_1_256,data/scen-random/Berlin_1_256-random-6.scen,800,0,CS-PIBT,True,172565,150855,800,4.697
maze-32-32-4,data/scen-random/maze-32-32-4-random-2.scen,200,0,CS-PIBT,False,24269,19525,193,1.069
Berlin_1_256,data/scen-random/Berlin_1_256-random-5.scen,900,0,CS-PIBT,True,199587,170977,900,5.296
maze-32-32-4,data/scen-random/maze-32-32-4-random-24.scen,100,0,CS-PIBT,False,9253,6946,98,0.580
maze-32-32-4,data/scen-random/maze-32-32-4-random-6.scen,100,0,CS-PIBT,True,7804,6702,100,0.219
maze-32-32-4,data/scen-random/maze-32-32-4-random-7.scen,100,0,CS-PIBT,True,6833,5527,100,0.189
maze-32-32-4,data/scen-random/maze-32-32-4-random-9.scen,100,0,CS-PIBT,True,6741,5818,100,0.152
maze-32-32-4,data/scen-random/maze-32-32-4-random-22.scen,200,0,CS-PIBT,True,32133,22491,200,0.893
maze-32-32-4,data/scen-random/maze-32-32-4-random-20.scen,200,0,CS-PIBT,False,32673,22631,192,1.137
maze-32-32-4,data/scen-random/maze-32-32-4-random-25.scen,100,0,CS-PIBT,False,8632,6981,96,0.553
maze-32-32-4,data/scen-random/maze-32-32-4-random-21.scen,200,0,CS-PIBT,False,29046,21151,196,1.127
Berlin_1_256,data/scen-random/Berlin_1_256-random-7.scen,800,0,CS-PIBT,True,171775,143812,800,4.484
maze-32-32-4,data/scen-random/maze-32-32-4-random-1.scen,300,0,CS-PIBT,False,53446,39447,284,1.710
random-64-64-20,data/scen-random/random-64-64-20-random-1.scen,100,0,CS-PIBT,True,4991,4398,100,0.145
Berlin_1_256,data/scen-random/Berlin_1_256-random-9.scen,600,0,CS-PIBT,True,123007,109094,600,3.415
Berlin_1_256,data/scen-random/Berlin_1_256-random-8.scen,700,0,CS-PIBT,True,154889,133745,700,3.991
maze-32-32-4,data/scen-random/maze-32-32-4-random-10.scen,300,0,CS-PIBT,False,52148,36851,295,1.704
maze-32-32-4,data/scen-random/maze-32-32-4-random-9.scen,200,0,CS-PIBT,True,17365,14074,200,0.326
maze-32-32-4,data/scen-random/maze-32-32-4-random-12.scen,300,0,CS-PIBT,False,52669,36798,291,1.689
maze-32-32-4,data/scen-random/maze-32-32-4-random-11.scen,300,0,CS-PIBT,False,64931,42599,282,1.726
maze-32-32-4,data/scen-random/maze-32-32-4-random-14.scen,300,0,CS-PIBT,False,41714,31289,291,1.673
maze-32-32-4,data/scen-random/maze-32-32-4-random-13.scen,300,0,CS-PIBT,False,65210,43690,284,1.737
random-64-64-20,data/scen-random/random-64-64-20-random-1.scen,200,0,CS-PIBT,True,11451,9595,200,0.315
maze-32-32-4,data/scen-random/maze-32-32-4-random-15.scen,300,0,CS-PIBT,False,65784,42118,292,1.725
random-64-64-20,data/scen-random/random-64-64-20-random-10.scen,100,0,CS-PIBT,True,5624,5031,100,0.154
maze-32-32-4,data/scen-random/maze-32-32-4-random-4.scen,200,0,CS-PIBT,True,26170,18939,200,0.772
maze-32-32-4,data/scen-random/maze-32-32-4-random-16.scen,300,0,CS-PIBT,False,59642,42431,292,1.734
maze-32-32-4,data/scen-random/maze-32-32-4-random-23.scen,200,0,CS-PIBT,False,32207,23079,196,1.139
maze-32-32-4,data/scen-random/maze-32-32-4-random-18.scen,300,0,CS-PIBT,False,49806,35421,296,1.690
maze-32-32-4,data/scen-random/maze-32-32-4-random-8.scen,100,0,CS-PIBT,False,7436,6373,98,0.582
random-64-64-20,data/scen-random/random-64-64-20-random-1.scen,300,0,CS-PIBT,True,18777,15617,300,0.458
maze-32-32-4,data/scen-random/maze-32-32-4-random-19.scen,300,0,CS-PIBT,False,55326,40516,297,1.717
random-64-64-20,data/scen-random/random-64-64-20-random-10.scen,200,0,CS-PIBT,True,11520,10134,200,0.284
maze-32-32-4,data/scen-random/maze-32-32-4-random-17.scen,300,0,CS-PIBT,False,64567,46182,286,1.762
maze-32-32-4,data/scen-random/maze-32-32-4-random-24.scen,200,0,CS-PIBT,False,26041,18544,195,1.121
Berlin_1_256,data/scen-random/Berlin_1_256-random-5.scen,1000,0,CS-PIBT,True,224664,191528,1000,5.911
random-64-64-20,data/scen-random/random-64-64-20-random-11.scen,100,0,CS-PIBT,True,5374,4909,100,0.166
maze-32-32-4,data/scen-random/maze-32-32-4-random-25.scen,200,0,CS-PIBT,False,26568,20457,196,1.059
maze-32-32-4,data/scen-random/maze-32-32-4-random-2.scen,300,0,CS-PIBT,False,62975,45562,289,1.743
Berlin_1_256,data/scen-random/Berlin_1_256-random-8.scen,800,0,CS-PIBT,True,178159,153126,800,4.470
maze-32-32-4,data/scen-random/maze-32-32-4-random-20.scen,300,0,CS-PIBT,False,61399,42952,293,1.727
random-64-64-20,data/scen-random/random-64-64-20-random-12.scen,100,0,CS-PIBT,True,5383,4807,100,0.145
maze-32-32-4,data/scen-random/maze-32-32-4-random-3.scen,200,0,CS-PIBT,False,24864,20854,194,1.149
maze-32-32-4,data/scen-random/maze-32-32-4-random-21.scen,300,0,CS-PIBT,False,68572,43632,290,1.728
Berlin_1_256,data/scen-random/Berlin_1_256-random-9.scen,700,0,CS-PIBT,True,145687,127387,700,3.973
random-64-64-20,data/scen-random/random-64-64-20-random-11.scen,200,0,CS-PIBT,True,12075,10331,200,0.343
maze-32-32-4,data/scen-random/maze-32-32-4-random-5.scen,200,0,CS-PIBT,False,26183,19557,198,1.127
Berlin_1_256,data/scen-random/Berlin_1_256-random-6.scen,900,0,CS-PIBT,True,198584,170333,900,5.636
maze-32-32-4,data/scen-random/maze-32-32-4-random-6.scen,200,0,CS-PIBT,False,32061,21181,199,1.130
maze-32-32-4,data/scen-random/maze-32-32-4-random-7.scen,200,0,CS-PIBT,False,25402,18141,197,1.119
